Firm,Line Item,t,t-1,t-2,t-3,t-4,t-5,t-6,t-7
FirmC,Accounts Payable,4378000000.0,3137000000.0,2041000000.0,1931000000.0,1715000000.0,2453000000.0,2012000000.0,588000000.0
FirmC,Short-Term Debt,0.0,0.0,0.0,3450000000.0,2010000000.0,3009000000.0,2549000000.0,1218000000.0
FirmC,Other Current Liabilities,28389000000.0,18733000000.0,13062000000.0,12839000000.0,12206000000.0,9360000000.0,8690000000.0,6363000000.0
FirmC,Total Current Liabilities,34620000000.0,24183000000.0,16756000000.0,19310000000.0,16805000000.0,15908000000.0,14337000000.0,8913000000.0
FirmC,Long-Term Debt,4074000000.0,3995000000.0,3935000000.0,1995000000.0,3228000000.0,2236000000.0,2988000000.0,2986000000.0
FirmC,Other Non-Current Liabilities,14810000000.0,15845000000.0,7342000000.0,5485000000.0,4458000000.0,3381000000.0,2786000000.0,2199000000.0
FirmC,Total Liabilities,55164000000.0,44793000000.0,28461000000.0,27130000000.0,26633000000.0,23611000000.0,22083000000.0,14429000000.0
FirmC,Total Equity,177628000000.0,152502000000.0,139036000000.0,120331000000.0,104500000000.0,87309000000.0,71715000000.0,58145000000.0
FirmC,Total Liabilities and Equity,232792000000.0,197295000000.0,167497000000.0,147461000000.0,131133000000.0,110920000000.0,93798000000.0,72574000000.0
FirmC,Revenues,136819000000.0,110855000000.0,90272000000.0,74989000000.0,66001000000.0,59825000000.0,50175000000.0,37905000000.0
FirmC,Cost of Goods Sold (COGS),59549000000.0,45583000000.0,35138000000.0,28164000000.0,25691000000.0,25858000000.0,20634000000.0,13188000000.0
FirmC,Gross Profit,77270000000.0,65272000000.0,55134000000.0,46825000000.0,40310000000.0,33967000000.0,29541000000.0,24717000000.0
FirmC,Operating Expenses,45878000000.0,36390000000.0,31418000000.0,27465000000.0,23814000000.0,20001000000.0,16781000000.0,12975000000.0
FirmC,Depreciation and Amortization,9035000000.0,6915000000.0,6144000000.0,5063000000.0,4979000000.0,3939000000.0,2962000000.0,1851000000.0
FirmC,Total Operating Expenses,,,,,,,,
FirmC,Operating Income,27524000000.0,26178000000.0,23716000000.0,19360000000.0,16496000000.0,15403000000.0,13834000000.0,11742000000.0
FirmC,Interest Income,1878000000.0,1312000000.0,1220000000.0,999000000.0,746000000.0,785000000.0,713000000.0,812000000.0
FirmC,Interest Expense,114000000.0,109000000.0,124000000.0,104000000.0,101000000.0,83000000.0,84000000.0,58000000.0
FirmC,Other Non-Operating Items,,,,,,,,
FirmC,Pre-Tax Income,34913000000.0,27193000000.0,24150000000.0,19651000000.0,17259000000.0,15899000000.0,14469000000.0,12326000000.0
FirmC,Income Tax Expense,4177000000.0,14531000000.0,4672000000.0,3303000000.0,3331000000.0,2282000000.0,2598000000.0,2589000000.0
