Firm,Line Item,t,t-1,t-2,t-3,t-4,t-5,t-6,t-7
Firmac,Total Liabilities and Equity,72468000000.0,70563000000.0,65891000000.0,62436000000.0,56653000000.0,49953000000.0,10189415000.0,9482931000.0
Firmac,Revenues,43310000000.0,40604000000.0,37490000000.0,32053000000.0,29564000000.0,24420000000.0,5101278000.0,4847382000.0
Firmac,Cost of Goods Sold (COGS),18354000000.0,17708000000.0,16550000000.0,14898000000.0,15409000000.0,12255000000.0,2930051000.0,2913431000.0
Firmac,Gross Profit,24956000000.0,22896000000.0,20940000000.0,17155000000.0,14155000000.0,12165000000.0,2171227000.0,1933951000.0
Firmac,Operating Expenses,19647000000.0,18243000000.0,17621000000.0,14877000000.0,13280000000.0,11007000000.0,1338214000.0,1182794000.0
Firmac,Depreciation and Amortization,6486000000.0,5984000000.0,6243000000.0,4688000000.0,4412000000.0,3627000000.0,641425000.0,538835000.0
Firmac,Total Operating Expenses,,,,,,,,
Firmac,Operating Income,5309000000.0,4888000000.0,4050000000.0,2065000000.0,1416000000.0,996000000.0,823969000.0,747538000.0
Firmac,Interest Income,19000000.0,17000000.0,13000000.0,420000000.0,359000000.0,189000000.0,1603000.0,2028000.0
Firmac,Interest Expense,1357000000.0,1671000000.0,1730000000.0,1496000000.0,1351000000.0,1223000000.0,275494000.0,261073000.0
Firmac,Other Non-Operating Items,,,,,,,,
Firmac,Pre-Tax Income,3917000000.0,3161000000.0,2327000000.0,978000000.0,413000000.0,51000000.0,607458000.0,479656000.0
Firmac,Income Tax Expense,1029000000.0,-1375000000.0,867000000.0,245000000.0,166000000.0,16000000.0,213286000.0,178346000.0
Firmac,Net Income,2888000000.0,4536000000.0,1460000000.0,733000000.0,247000000.0,35000000.0,394172000.0,301310000.0
Firmad,Cash and Cash Equivalents,3121100000.0,2259000000.0,2906900000.0,2458700000.0,2419487000.0,2330694000.0,1767600000.0,2731782000.0
Firmad,Accounts Receivable,2400900000.0,2204100000.0,1220800000.0,1164631000.0,1289503000.0,1136907000.0,870455000.0,1073360000.0
Firmad,Inventory,3439500000.0,2958400000.0,2780900000.0,2573700000.0,2549837000.0,2393022000.0,1857000000.0,1632678000.0
Firmad,Other Current Assets,656600000.0,437800000.0,498800000.0,560623000.0,348970000.0,240335000.0,185062000.0,243223000.0
Firmad,Total Current Assets,10430500000.0,9007000000.0,8557400000.0,7707600000.0,6928542000.0,6855786000.0,5831900000.0,5566594000.0
Firmad,Property Plant & Equipment,,,,,,,,
Firmad,Intangible Assets,2592700000.0,1166000000.0,1323000000.0,738200000.0,1670098000.0,1375572000.0,9900000.0,267988000.0
Firmad,Other Non-Current Assets,1081200000.0,867600000.0,612300000.0,450900000.0,5473000.0,13611000.0,311600000.0,211058000.0
Firmad,Total Assets,21675900000.0,18196400000.0,17205900000.0,13295000000.0,13067411000.0,12203365000.0,7410500000.0,7559163000.0
Firmad,Accounts Payable,964000000.0,837300000.0,593200000.0,527894000.0,496236000.0,625870000.0,188961000.0,444269000.0
Firmad,Short-Term Debt,0.0,-130800001.0,245900000.0,4211000.0,4261000.0,4385000.0,3610000.0,2372000.0
Firmad,Other Current Liabilities,911400000.0,2003500000.0,2239570000.0,2567759000.0,2350153000.0,2219109000.0,1882938000.0,969926000.0
Firmad,Total Current Liabilities,3791900000.0,3341900000.0,3280600000.0,3107200000.0,2886943000.0,2865167000.0,2086300000.0,2232827000.0
Firmad,Long-Term Debt,3120200000.0,3081100000.0,3071793000.0,1125474000.0,1149876000.0,1070185000.0,755880000.0,634504000.0
Firmad,Other Non-Current Liabilities,201700000.0,198300000.0,636254000.0,416786000.0,427347000.0,723218000.0,413113000.0,6353000.0
Firmad,Total Liabilities,8733500000.0,7520200000.0,7385500000.0,4906200000.0,4701481000.0,4658570000.0,3343600000.0,3839358000.0
Firmad,Total Equity,12942400000.0,10676200000.0,9820400000.0,8388800000.0,8365930000.0,7544795000.0,4066900000.0,3719805000.0
Firmad,Total Liabilities and Equity,21675900000.0,18196400000.0,17205900000.0,13295000000.0,13067411000.0,12203365000.0,7410500000.0,7559163000.0
Firmad,Revenues,10944000000.0,9052800000.0,6794800000.0,6287400000.0,5856277000.0,5245326000.0,4731500000.0,5651035000.0
Firmad,Cost of Goods Sold (COGS),6225700000.0,4976100000.0,3750300000.0,3391700000.0,3358907000.0,3159346000.0,2726300000.0,3299293000.0
Firmad,Gross Profit,4718300000.0,4076700000.0,3044500000.0,2895700000.0,2497370000.0,2085980000.0,2005200000.0,2351742000.0
Firmad,Operating Expenses,1835000000.0,1676300000.0,1480600000.0,1413800000.0,1054619000.0,875300000.0,848400000.0,708239000.0
Firmad,Depreciation and Amortization,419100000.0,413700000.0,354327000.0,296900000.0,353059000.0,320924000.0,186600000.0,266124000.0
Firmad,Total Operating Expenses,,,,,,,,
Firmad,Operating Income,2883300000.0,2496200000.0,1657700000.0,1565100000.0,1523757000.0,1275136000.0,1156800000.0,1643503000.0
